epoch,accuracy,loss,val_accuracy,val_loss
1,0.4368833005428314,1.3775664567947388,0.7441860437393188,0.9296677112579346
2,0.6583871841430664,0.9144511222839355,0.8262653946876526,0.6590029001235962
3,0.7441306710243225,0.7183723449707031,0.8399452567100525,0.5411921143531799
4,0.7757740616798401,0.6256934404373169,0.8508892059326172,0.46940162777900696
5,0.8111602663993835,0.5391820073127747,0.8686730265617371,0.4276067912578583
6,0.8203470706939697,0.5042266845703125,0.8632010817527771,0.4074215590953827
7,0.8196665644645691,0.4910757541656494,0.8850889205932617,0.3697810769081116
8,0.8376998901367188,0.45543602108955383,0.8878248929977417,0.3600236475467682
9,0.8325961232185364,0.447380930185318,0.8864569067955017,0.3519901633262634
10,0.8492684364318848,0.4160800874233246,0.8960328102111816,0.32721924781799316
11,0.8536917567253113,0.38959798216819763,0.8946648240089417,0.314323753118515
12,0.8519904613494873,0.4025629758834839,0.8960328102111816,0.3264496922492981
13,0.8625382781028748,0.36730924248695374,0.8974007964134216,0.3048144280910492
14,0.8710445761680603,0.3692307472229004,0.8987687826156616,0.30490535497665405
15,0.8604967594146729,0.36960139870643616,0.8987687826156616,0.2965623140335083
16,0.8815923929214478,0.33793923258781433,0.9083447456359863,0.2798430621623993
17,0.8747873306274414,0.3475429117679596,0.8946648240089417,0.29785507917404175
18,0.8788703680038452,0.32705357670783997,0.9069767594337463,0.282961905002594
19,0.875467836856842,0.3292090892791748,0.9056087732315063,0.28140780329704285
20,0.8710445761680603,0.33508509397506714,0.9124487042427063,0.266871839761734
21,0.877509355545044,0.3340064585208893,0.9138166904449463,0.272452175617218
22,0.8856753706932068,0.3160416781902313,0.9151846766471863,0.2649531066417694
23,0.8843144178390503,0.3153572082519531,0.9110807180404663,0.2753028869628906
24,0.8917999267578125,0.3046760857105255,0.9220246076583862,0.26650336384773254
25,0.894862174987793,0.30418896675109863,0.9151846766471863,0.26462385058403015
26,0.8941816687583923,0.2977948784828186,0.9097127318382263,0.27061063051223755
27,0.8941816687583923,0.2848956882953644,0.9110807180404663,0.2683262526988983
28,0.8863558769226074,0.3038024306297302,0.9110807180404663,0.284029096364975
29,0.8846546411514282,0.29826536774635315,0.9151846766471863,0.2718524932861328
30,0.9006465077400208,0.28475260734558105,0.9165526628494263,0.25748106837272644
31,0.8965634703636169,0.2874496579170227,0.9192886352539062,0.2584308385848999
32,0.9040489792823792,0.26643136143684387,0.9042407870292664,0.2691601812839508
33,0.8928207159042358,0.2922741174697876,0.9124487042427063,0.26621121168136597
34,0.9037087559700012,0.27074700593948364,0.9042407870292664,0.2739778459072113
35,0.8900986909866333,0.28534871339797974,0.9097127318382263,0.2622375190258026
